iter	Logloss
0	0.6256202681
1	0.5773405783
2	0.5407691949
3	0.5132173918
4	0.4915607204
5	0.4737769969
6	0.4586065619
7	0.4458611923
8	0.4387127445
9	0.4304379292
10	0.4225382508
11	0.4168425962
12	0.4135999804
13	0.4108500374
14	0.4079187986
15	0.4055006097
16	0.402763651
17	0.4002408381
18	0.3976620933
19	0.3948358601
20	0.3927778476
21	0.3911422324
22	0.390245181
23	0.3886855542
24	0.3872045759
25	0.3864428537
26	0.3853191054
27	0.384251503
28	0.3829864229
29	0.3813354378
30	0.3803023792
31	0.3793902155
32	0.3783946746
33	0.3771174659
34	0.3763803927
35	0.3756590946
36	0.3745829158
37	0.3742715285
38	0.3732458924
39	0.3726389998
40	0.3716484878
41	0.3710785381
42	0.3703523499
43	0.3694499939
44	0.3685486442
45	0.3678824892
46	0.3673187086
47	0.3660260032
48	0.3648623099
49	0.3643675395
