iter	Passed	Remaining
0	7	371
1	14	353
2	20	324
3	28	322
4	35	317
5	42	311
6	49	303
7	57	299
8	69	318
9	78	312
10	86	306
11	94	297
12	101	289
13	108	279
14	115	270
15	123	262
16	130	254
17	137	244
18	144	235
19	150	226
20	157	217
21	163	208
22	168	197
23	174	189
24	181	181
25	188	173
26	195	166
27	201	158
28	209	151
29	216	144
30	223	137
31	230	129
32	237	122
33	243	114
34	251	107
35	258	100
36	264	92
37	271	85
38	277	78
39	284	71
40	290	63
41	296	56
42	302	49
43	307	41
44	313	34
45	319	27
46	325	20
47	330	13
48	336	6
49	341	0
