Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,CLTV,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Number_of_Services,Tenure_Group,Monthly_to_Total_Ratio
1,1,1,1,-1.2367242199587352,1,1,-0.3626603559551803,-0.9580659010627455,1,-0.9816754877591304,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0.4933577645442052
0,1,1,0,-1.2367242199587352,1,1,0.19736523310080326,-0.9388744441030343,1,-1.4364617989116963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.46315099901735995
0,1,1,0,-0.9924020376385531,1,1,1.1595456961969886,-0.6437892489880273,1,0.821408530249091,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,5,1,0.12130249543517956
0,1,0,0,-0.1779947632379461,1,1,1.330710787214099,0.33808539553347106,1,0.5094826030831118,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,6,3,0.03439392199012159
1,1,1,0,0.6771328748826912,1,1,1.2941512532104444,1.2161496993050833,1,0.7943580433403883,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,6,4,0.020586425267504416
0,1,0,1,-0.9109613101984924,1,0,-0.31779183695069496,-0.7726808386611219,1,1.2888747571401113,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,0.10427883253046188
1,0,1,1,-1.2774445836787656,0,1,-0.8346107040023594,-0.988286930987808,1,0.8729735209188058,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0.97539975399754
1,1,1,1,-1.2774445836787656,1,0,-1.4827115340671475,-0.9968899979007819,1,0.3649315636647312,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.9527186761229315
1,1,0,0,0.5956921474426305,1,1,1.1495749141959914,1.0894640242250588,1,1.1739101877781244,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,5,3,0.020915128995926444
1,1,0,1,-1.2774445836787656,0,0,-1.1486903370337564,-0.9924561095687108,1,-1.2555616677097463,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.967948717948718
0,1,1,1,-0.62591876415828,1,1,-0.0020504069191315333,-0.5235227853738373,1,-1.1651116021087713,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,0.05913536239831826
1,1,1,0,-1.1145631287986442,1,1,0.16412929309748078,-0.8659689668020626,1,-1.6452577447382462,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.21925133689839574
1,1,1,0,0.06632741908223598,1,1,1.3822264942192488,0.5600886401800608,1,-1.2335831470964254,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,6,3,0.02995563692697697
0,1,1,0,-0.8702409464784621,1,1,1.099721004191008,-0.5180962354748845,1,1.0766975004499737,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5,1,0.08843998553868401
0,1,1,0,-1.2367242199587352,1,1,0.5280628361338618,-0.9421833159926397,1,1.002308661451041,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0.555632104719256
0,1,1,0,-0.7073594915983407,1,1,1.141265929195161,-0.37647651859977455,1,-1.2124499541990013,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,5,2,0.06942693008266777
0,0,0,0,-0.9924020376385531,1,1,0.5280628361338618,-0.7263786913525774,1,0.7622355901363036,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0.12714803720636925
1,0,1,0,-0.5851984004382496,1,1,1.0199547481830342,-0.2325847096938023,1,-1.032395150712948,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,2,0.05443243705625731
0,1,1,0,-0.9516816739185228,1,0,0.9850570111795457,-0.6275757767289609,1,0.9896287457125866,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,1,0.10999126128750365
0,1,1,0,-1.2774445836787656,1,1,0.48485611412954227,-0.9707719691188302,1,-1.6207432409772342,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0.9875544492843809
0,1,0,0,-1.0331224013585834,1,1,0.34526516611558833,-0.7865560414515337,1,-0.7973940456935925,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0.15093392247439247
